title,overview,genres,tagline,popularity,release_date,id
The Stars Fell on Henrietta,"The setting is early America during the oil boom. An elderly, down on his luck 'oil man', Mr. Cox finds himself in the town of Henrietta. Using unconventional methods, he convinces himself and local Don Day that there is oil on Day's land. The financially strapped Day puts everything into finding oil...but at what cost?","[{'id': 18, 'name': 'Drama'}]",,0.913522,9/15/95,139408
Strange Days,"Set in the year 1999 during the last days of the old millennium, the movie tells the story of Lenny Nero, an ex-cop who now deals with data-discs containing recorded memories and emotions. One day he receives a disc which contains the memories of a murderer killing a prostitute. Lenny investigates and is pulled deeper and deeper in a whirl of blackmail, murder and rape. Will he survive and solve the case?","[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",You know you want it.,11.223055,10/13/95,281
The Umbrellas of Cherbourg,"This simple romantic tragedy begins in 1957. Guy Foucher, a 20-year-old French auto mechanic, has fallen in love with 17-year-old Geneviève Emery, an employee in her widowed mother's chic but financially embattled umbrella shop. On the evening before Guy is to leave for a two-year tour of combat in Algeria, he and Geneviève make love. She becomes pregnant and must choose between waiting for Guy's return or accepting an offer of marriage from a wealthy diamond merchant.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",a film for all the young lovers of the world,8.133881,2/19/64,5967
The Tie That Binds,John Netherwood and his wife Leann are fugitives who are both wanted for murder. They have a young daughter named Janie and they want her back.,"[{'id': 53, 'name': 'Thriller'}]",,1.820419,9/8/95,79593
Three Wishes,"While Jane Holman (Mastrantonio) is driving with her two sons, she accidentally runs into a drifter, Jack McCloud (Swayze), who breaks his leg. Being responsible,  Jane invites Jack, and his dog, to stay at her home until his leg has healed.  Jack struggles to adapt their lifestyle, and finds himself loved by the family. He starts teaching baseball to Tom, who misses his father, who was lost in the Korean war. Jack and Tom develop a strong bond of friendship. Meanwhile, Gunny believes that there is more to Jack and Betty Jane than meets the eye...  We learn that Jack, is Jack McCloud, a Star White Socks baseball player in 1941, who dropped out of the league, after his first season, and; ""was never heard from again"" ...  A wonderful story.  We witness magic between a boy's imagination, and Jack's dog, and are never sure if we are witnessing imagination or magic by the dog.  A story of friendship, family, and learning that life isn't always as cut and dried as we often believe.","[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]","If you really believe, magic will find you",11.002046,10/27/95,47939
Total Eclipse,"Young, wild poet Arthur Rimbaud and his mentor Paul Verlaine engage in a fierce, forbidden romance while feeling the effects of a hellish artistic lifestyle.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Touched by Genius. Cursed by Madness. Blinded by Love.,4.546552,11/2/95,36834
"To Wong Foo, Thanks for Everything! Julie Newmar","Three New York drag queens on their way to Hollywood for a beauty pageant get stranded in a small Midwestern town for the entire weekend when their car breaks down. While waiting for parts for their Cadillac convertible, the flamboyant trio shows the local homophobic rednecks that appearing different doesn't mean they don't have humanity in common.","[{'id': 35, 'name': 'Comedy'}]",Attitude is everything,7.653446,9/7/95,9090
Under Siege 2: Dark Territory,"A passenger train has been hijacked by an electronics expert and turned into an untraceable command center for a weapons satellite. He has planned to blow up Washington DC and only one man can stop him, former Navy SEAL Casey Ryback.","[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",Last time he rocked the boat. This time the sky's the limit.,7.490247,7/13/95,3512
Unstrung Heroes,"Steven Lidz, unhappy with his home life since his mother got sick, goes and lives with his two crazy Uncles. There he changes and gets closer to his Uncles, but his parents want him home even though he is finally happy and popular. Written by Todd Weiser","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",Sometimes you find your heroes in the most unlikely places,2.881689,9/15/95,52856
Unzipped,"Using a variety of cinematographic techniques, the world of high- profile fashion designer Issac Mizrahi is portrayed as being driven by excitement and creativity, despite the concomitant chaos and cacophony. Mizrahi's frenzied genius and rollercoaster emotions paint a humorous and personal portrait of a brilliant designer. Famous ""SuperModels"", actors, and actresses populate Issac's rarified world, but Douglas Keeve's cameras capture the stress and turbulence beneath the placid coolness of glamour. Written by Tad Dibbern","[{'id': 99, 'name': 'Documentary'}]",,0.786023,8/11/95,77350
A Walk in the Clouds,World War II vet Paul Sutton falls for a pregnant and unwed woman who persuades him -- during their first encounter -- to pose as her husband so she can face her family.,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",A man in search. A woman in need. A story of fate.,9.715639,8/11/95,9560
Waterworld,"In a futuristic world where the polar ice caps have melted and made Earth a liquid planet, a beautiful barmaid rescues a mutant seafarer from a floating island prison. They escape, along with her young charge, Enola, and sail off aboard his ship. But the trio soon becomes the target of a menacing pirate who covets the map to 'Dryland' – which is tattooed on Enola's back.","[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",Beyond the horizon lies the secret to a new beginning.,16.885184,7/28/95,9804
White Man's Burden,"The story takes place in alternative America where the blacks are members of social elite, and whites are inhabitants of inner city ghettos. Louis Pinnock is a white worker in a chocolate factory, loving husband and father of two children. While delivering a package for black CEO Thaddeus Thomas, he is mistaken for a voyeur and, as a result, loses his job, gets beaten by black cops and his family gets evicted from their home. Desperate Pinnock takes a gun and kidnaps Thomas, demanding justice.","[{'id': 18, 'name': 'Drama'}]",Reality Just Switched Sides,1.834099,12/1/95,31611
Wild Bill,Biopic about famous gunslinger Wild Bill Hickock. The early career of legendary lawman is telescoped and culminates in his relocation in Deadwood and a reunion with Calamity Jane.,"[{'id': 28, 'name': 'Action'}, {'id': 37, 'name': 'Western'}]",The Name Is Legendary. The Man Is Real.,8.922139,12/1/95,65796
The Browning Version,"Andrew Crocker-Harris is an embittered and disliked teacher of Greek and Latin at a British prep school. After nearly 20 years of service, he is being forced to retire on the pretext of his health, and perhaps may not even be given a pension. The boys regard him as a Hitler, with some justification. His wife Laura is unfaithful, and lives to wound him any way she can. Andrew must come to terms with his failed life and regain at least his own self-respect.","[{'id': 18, 'name': 'Drama'}]",The greatest lessons in the life and the ones learned by heart.,3.727644,10/12/94,49805
Bushwhacked,"A inept courier realises he has been used by criminals to deliver money. On the run from both the criminals and police, he poses as a Scout leader and leads a scout group on a hike through the mountains.","[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 10751, 'name': 'Family'}]","They wanted a great adventure. What they got was ""Mad Max"" Grabelski.",3.287036,8/4/95,26258
Burnt by the Sun,"Russia, 1936: revolutionary hero Colonel Kotov is spending an idyllic summer in his dacha with his young wife and six-year-old daughter Nadia and other assorted family and friends. Things change dramatically with the unheralded arrival of Cousin Dmitri from Moscow, who charms the women and little Nadia with his games and pianistic bravura. But Kotov isn't fooled: this is the time of Stalin's repression, with telephone calls in the middle of the night spelling doom - and he knows that Dmitri isn't paying a social call...","[{'id': 18, 'name': 'Drama'}]",A moving and poignant story set against the corrupt politics of the Stalinist era.,2.486073,5/1/94,50797
Before the Rain,"The circularity of violence seen in a story that circles on itself. In Macedonia, during war in Bosnia, Christians hunt an ethnic Albanian girl who may have murdered one of their own. A young monk who's taken a vow of silence offers her protection. In London, a photographic editor who's pregnant needs to talk it out with her estranged husband and chooses a toney restaurant.","[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",Once You Know The Faces You Will Begin To Understand The Story,3.525649,6/9/94,19155
Before Sunrise,"A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Can the greatest romance of your life last only one night?,11.304979,1/27/95,76
Billy Madison,"Billy Madison is the 27 year-old son of Bryan Madison, a very rich man who has made his living in the hotel industry. Billy stands to inherit his father's empire but only if he can make it through all 12 grades, 2 weeks per grade, to prove that he has what it takes to run the family business.","[{'id': 35, 'name': 'Comedy'}]",Billy is going back to school... Way back.,6.638116,2/10/95,11017
The Babysitter,"Jennifer (Alicia Silverstone) is a lovely teen who has been hired to baby-sit the kids of Harry Tucker (J.T. Walsh) and his wife, Dolly (Lee Garlington). The Tuckers go to a party and proceed to get inebriated, with Mr. Tucker fantasizing about his beautiful baby sitter. Meanwhile, Jack (Jeremy London), her boyfriend, and Mark (Nicky Katt), another guy interested in her, decide to spy on Jennifer at the Tucker house, with each young man also fixated on her.","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",Something about her captures the imagination.,2.761837,10/17/95,37141
Boys on the Side,"After breaking up with her girlfriend, a nightclub singer, Jane, answers a personal ad from Robin, a real estate agent with AIDS, seeking a cross-country travel partner. On their journey from New York City to Los Angeles, the two stop by Pittsburgh to pick up Robin's friend Holly, who is trying to escape an abusive relationship. With three distinct personalities, the women must overcome their differences to help one another.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","A motion picture that celebrates the art of survival, the gift of laughter and the miracle of friendship.",3.030309,2/3/95,9382
The Cure,"Dexter, age 11, who has AIDS, and his next door neighbor Eric, a little older and much bigger, become best friends. Eric also becomes closer to Dexter's mother than to his own, who is neglectful and bigoted and violently forbids their friendship upon learning of it. Dexter and Erik start the journey to find ""The Cure"" they had read about in the local newspaper.","[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",The best cure for a disease is friendship,2.686342,4/21/95,6715
Castle Freak,John has inherited a castle and Italy and he moves there with his wife Susan and their blind daughter Rebecca. What they don't realize is that there is somebody else in the castle. An abused child left to die in the basement who has now become the castle freak and is out to wreak havoc.,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",Hideous... hungry... and loose!,2.26977,8/4/95,18256
Circle of Friends,"'Circle Of Friends' is set in 1950's Ireland. The movie focuses on Benny Hogan and her best friend, Eve Malone. The story centers around Benny and Eve as they enter student life at University College, Dublin. Here Benny and Eve reunite with their childhood friend, the ice-cool Nan Mahon, the 'college belle'. They also encounter the handsome and charming Jack Foley, whom Benny quickly falls for.","[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",,2.605521,3/16/95,22625
Clerks,"Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives.","[{'id': 35, 'name': 'Comedy'}]",Just because they serve you doesn't mean they like you.,10.513367,9/13/94,2292
Don Juan DeMarco,"John Arnold DeMarco is a man who believes he is Don Juan, the greatest lover in the world. Clad in a cape and mask, DeMarco undergoes psychiatric treatment with Dr. Jack Mickler to cure him of his apparent delusion. But the psychiatric sessions have an unexpected effect on the psychiatric staff and, most profoundly, Dr Mickler, who rekindles the romance in his complacent marriage.","[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",The story of the man who thought he was the greatest lover in the world... and the people who tried to cure him of it!,7.438934,10/1/94,1909
Disclosure,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",Sex Is Power.,11.812244,12/9/94,8984
Dream Man,"Kris is a homicide cop with psychic abilities. She works to prove that the prime suspect in her latest case (the much younger husband of the millionaire victim) is innocent. But are her visions true, or planned by someone who knows what she can see?","[{'id': 53, 'name': 'Thriller'}]",,0.155859,1/1/95,61813
Drop Zone,A team of skydiving crooks led by DEA-agent-turned-bad Ty Moncrief (Busey) specialize in landing on police roofs and breaking in so their evil computer nerd can steal undercover agents' files and sell them to drug lords. Federal Marshal Pete Nessip (Snipes) lost a brother to this crew and learns skydiving with the help of tough-but-lovable instructor Jessie Crossmann (Butler) so he can track them down.,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",Taking crime to new heights,9.579155,12/8/94,4954
Destiny Turns on the Radio,"Johnny Destiny burns into Las Vegas in his hot Plymouth RoadRunner, stopping only to pick up a stranger stranded in the desert. But then, things aren't always as they seem. Anything can happen in that town of many possibilities...especially since there's been some weird electrical disturbances. As the stranger, fresh out of prison, tries to put his life back together--to recover his money from an old bank heist and the girl he lost in doing the job--something keeps interfering with his plans. Is it fate...or just Destiny?","[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",Fate visits in ways you never expect,0.710671,4/28/95,62488
Death and the Maiden,A political activist is convinced that her guest is a man who once tortured her for the government.,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",Prepare yourself for the moment of truth.,5.484156,5/4/94,10531
Dolores Claiborne,"Dolores Claiborne was accused of killing her abusive husband twenty years ago, but the court's findings were inconclusive and she was allowed to walk free. Now she has been accused of killing her employer, Vera Donovan, and this time there is a witness who can place her at the scene of the crime. Things look bad for Dolores when her daughter Selena, a successful Manhattan magazine writer, returns to cover the story.","[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]","Sometimes, an accident can be an unhappy woman's best friend.",5.8025,3/24/95,11929
Dumb and Dumber,"Lloyd and Harry are two men whose stupidity is really indescribable. When Mary, a beautiful woman, loses an important suitcase with money before she leaves for Aspen, the two friends (who have found the suitcase) decide to return it to her. After some ""adventures"" they finally get to Aspen where, using the lost money they live it up and fight for Mary's heart.","[{'id': 35, 'name': 'Comedy'}]","What the one doesn't have, the other is missing.",9.844558,12/16/94,8467
Eat Drink Man Woman,"The film tells the story of a retired and widowed Chinese master chef Chu (Si Hung Lung) and his family living in modern day Taipei, Taiwan. At the start of the film, he lives with his three attractive daughters, all of whom are unattached. As the film progresses, each of the daughters encounters new men in their lives. When these new relationships blossom, the stereotypes are broken and the living situation within the family changes.. The film features several scenes displaying the techniques and artistry of gourmet Chinese cooking. Since the family members have difficulty expressing their love for each other, the intricate preparation of banquet quality dishes for their Sunday dinners is the surrogate for their familial feelings.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,4.860016,8/3/94,10451
Exotica,"In the upscale Toronto strip club Exotica, dancer Christina is visited nightly by the obsessive Francis, a depressed tax auditor. Her ex-boyfriend, the club's MC, Eric, still jealously pines for her even as he introduces her onstage, but Eric is having his own relationship problems with the club's owner, Zoe. Meanwhile Thomas, a mysterious pet-shop owner, is about to become unexpectedly involved in their lives. Gradually, connections between the traumatic pasts of these characters are revealed.","[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]","In a world of temptation, obsession is the deadliest desire.",5.378467,9/24/94,20156
Exit to Eden,"Elliot is going to the island of Eden to live out his submissive fantasies, but inadvertently photographs diamond smugglers at work. Smugglers, and detectives, follow him to the island, where they try to retrieve the film. Elliot begins falling in love with Lisa, the head mistress of the island, and Lisa must evaluate her feelings about Elliot and her own motivations.","[{'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}]","To crack this case, these two cops will have to flash more than their badges.",4.322726,10/14/94,18395
Ed Wood,"The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]","When it came to making bad movies, Ed Wood was the best.",11.720358,9/27/94,522
French Kiss,French Kiss is director Kasdan’s best film since the Bodyguard. The plot involves a couple in love and one woman’s attempt to fly to Paris to get her lover back from a business trip and marry him. On the way she unknowingly smuggles something of value that has a petty thief chasing her across France as she chases after her future husband.,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,9.146544,5/5/95,397
Forget Paris,"Mickey Gordon is a basketball referee who travels to France to bury his father. Ellen Andrews is an American living in Paris who works for the airline he flies on. They meet and fall in love, but their relationship goes through many difficult patches. The story is told in flashback by their friends at a restaurant waiting for them to arrive.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,16.236745,5/19/95,10525
Far from Home: The Adventures of Yellow Dog,"Teenager Angus adopts a stray dog and names him Yellow. Several days later, while travelling along the coast of British Columbia with Angus's father, John, the boy and dog become stranded when turbulent waters capsize their boat. Angus's parents relentlessly badger rescue teams. Angus, schooled by his father in wilderness survival skills, and assisted by the intelligent Yellow Dog, tries to attract rescuers.","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",Partners in survival. Friends for life.,2.657337,1/13/95,27985
A Goofy Movie,"Though Goofy always means well, his amiable cluelessness and klutzy pratfalls regularly embarrass his awkward adolescent son, Max. When Max's lighthearted prank on his high-school principal finally gets his longtime crush, Roxanne, to notice him, he asks her on a date. Max's trouble at school convinces Goofy that he and the boy need to bond over a cross-country fishing trip like the one he took with his dad when he was Max's age, which throws a kink in his son's plans to impress Roxanne.","[{'id': 10749, 'name': 'Romance'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",It's the story of a father who couldn't be closer...to driving his son crazy.,10.177977,4/7/95,15789
Hideaway,"Hatch Harrison, his wife, Lindsey, and their daughter, Regina, are enjoying a pleasant drive when a car crash leaves wife and daughter unharmed but kills Hatch. However, an ingenious doctor, Jonas Nyebern, manages to revive Hatch after two lifeless hours. But Hatch does not come back unchanged. He begins to suffer horrible visions of murder -- only to find out the visions are the sights of a serial killer.","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",He was bought back from the dead... but he didn't come back alone.,8.182165,3/3/95,27303
Fluke,"Workaholic Thomas Johnson dies in an auto accident and comes back to life as a dog. Remembering some of who he was, he returns to his wife and son to protect them from the man who caused his accident. But, as time goes by, he remembers more of his life, and realizes he wasn't such a good husband and father.","[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",Unleash your imagination... and come along on a magical journey. Follow him home.,4.953936,6/2/95,21183
Farinelli,"Farinelli is a 1994 biopic film about the life and career of Italian opera singer Farinelli, considered one of the greatest castrato singers of all time.","[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",Où s'arrête le pouvoir de sa voix?,8.935058,12/7/94,10954
Gordy,A talking pig named Gordy becomes involved in a quest to save his family from the slaughterhouse.,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",The talking pig who made it big!,0.398924,5/12/95,47867
Gumby: The Movie,"The band is back together! Gumby reunites with The Clayboys to perform at a concert benefiting local farmers. But things take an unexpected turn when Gumby s dog, Lowbelly, reacts to the music by crying tears of real pearl! Fortune turns into disaster as Gumby s archenemies, the Blockheads, devise an elaborate scheme to dognap Lowbelly and harvest her pearls for themselves. When the Blockheads initial plan fails, they kidnap The Clayboys as well...and replace them with clones! The battle between Clayboys and clones is filled with trains and planes, knights and fights, thrills and spills. True to classic Gumby adventures, Gumby: The Movie takes viewers in and out of books, to Toyland, Camelot, outer space and beyond!","[{'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]",The original green hero!,0.090452,12/1/95,43475
The Glass Shield,"J.J. is a rookie in the Sheriff's Department and the first black officer at that station. Racial tensions run high in the department as some of J.J.'s fellow officers resent his presence. His only real friend is the other new trooper, the first female officer to work there, who also suffers similar discrimination in the otherwise all-white-male work environment. When J.J. becomes increasingly aware of police corruption during the murder trial of Teddy Woods, whom he helped to arrest, he faces difficult decisions and puts himself into grave personal danger in the service of justice.","[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",In a world filled with violence... his only weapon is the truth!,1.012197,9/16/94,72031
Hoop Dreams,"This documentary follows two inner-city Chicago residents, Arthur Agee and William Gates, as they follow their dreams of becoming basketball superstars. Beginning at the start of their high school years, and ending almost 5 years later, as they start college, we watch the boys mature into men, still retaining their ""Hoop Dreams"".","[{'id': 99, 'name': 'Documentary'}]",An Extraordinary True Story.,9.47666,9/12/94,14275
Heavenly Creatures,"Based on the true story of Juliet Hulme and Pauline Parker, two close friends who share a love of fantasy and literature, who conspire to kill Pauline's mother when she tries to end the girls' intense and obsessive relationship.","[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",From a secret world no one could see... came a crime no one could believe.,9.438042,9/2/94,1024
Houseguest,"In hot water with the mob over an unpaid debt, a con man poses as a family friend in an affluent Pennsylvania suburb.","[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",,2.688562,1/6/95,17207
Immortal Beloved,"The life and death of the legendary Ludwig van Beethoven. Beside all the work he is known for, the composer once wrote a famous love letter to a nameless beloved and the movie tries to find out who this beloved was. Not easy as Beethoven has had many women in his life.","[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",,7.983666,12/16/94,13701
Heavyweights,"Camp Hope is a summer retreat for overweight boys run by a kindly couple who make the campers feel comfortable with their extra pounds. But when tyrannical fitness guru Tony buys the camp, he puts the kids on a cruel regimen that goes too far. Sick of the endless weeks of ""all work and no play,"" the kids stage a coup and reclaim their summer of fun.","[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}]",They don't run the fastest. They don't jump the highest. But they sure are getting the last laugh. Heavyweights. They never met a hot dog they didn't like ... until now.,9.546707,2/17/95,14819
The Hunted,A businessman on a trip to Tokyo ends up in the middle of a centuries old feud between a criminal Ninja cult and a Samurai when he witnesses a assassination performed by the Ninja-cult leader.,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",He's trapped in a world where killing is an art and revenge is an obsession,2.756986,2/24/95,32631
I.Q.,Albert Einstein helps a young man who's in love with Einstein's niece to catch her attention by pretending temporarily to be a great physicist.,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Think Love.,5.146352,12/24/94,11777
Interview with the Vampire,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.","[{'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",Drink from me and live forever,11.970205,11/11/94,628
Jefferson in Paris,"His wife having recently died, Thomas Jefferson accepts the post of United States ambassador to pre-revolutionary France, though he finds it difficult to adjust to life in a country where the aristocracy subjugates an increasingly restless peasantry. In Paris, he becomes smitten with cultured artist Maria Cosway, but, when his daughter visits from Virginia accompanied by her attractive slave, Sally Hemings, Jefferson's attentions are diverted.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",A powerful man torn between his love for one woman and his secret desire for another.,1.596058,3/31/95,87729
The Jerky Boys,"When two unemployed telephone pranksters decide to use their vocal ""talents"" to impersonate a Chicago mob boss and curry favor with organized crime in New York, the trouble begins. It isn't long before Johnny and Kamal (the ""Jerky Boys"" of crank call fame) are wanted by the local mafia, the police, and their neighbor.","[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",,0.748846,2/3/95,18713
Junior,"As part of a fertility research project, a male scientist agrees to carry a pregnancy in his own body.","[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",Nothing is inconceivable,6.710215,11/22/94,6280
Just Cause,"Bobby Earl is facing the electric chair for the murder of a young girl. Eight years after the crime he calls in Paul Armstrong, a professor of law, to help prove his innocence. Armstrong quickly uncovers some overlooked evidence to present to the local police, but they aren't interested - Bobby was their killer.","[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",Buried deep in the Florida Everglades is a secret that can save an innocent man or let a killer kill again.,9.195256,2/17/95,9061
A Kid in King Arthur's Court,"A Southern California kid named Calvin Fuller is magically transported to the medieval kingdom of Camelot through a crack in the ground caused by an earthquake. Once there, he learns he was summoned by the wizard Merlin, who needs Calvin to save Camelot. Using dazzling modern inventions, can Calvin help King Arthur retain his crown and thwart the evil Lord Belasco?","[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]",Joust Do It.,5.874511,8/11/95,37108
Kiss of Death,"Jimmy Kilmartin is an ex-con living in Astoria in the New York City borough of Queens, trying to stay clean and raising a family with his wife Bev. But when his cousin Ronnie causes him to take a fall for driving an illegal transport of stolen cars, a police officer named Calvin Hart is injured and Jimmy lands back in prison. In exchange for an early release, he is asked to help bring down a local crime boss named Little Junior Brown.  Jimmy remarries and attempts to renew a relationship with his child. But he is sent undercover by Detective Hart to work with Junior and infiltrate his operations. As soon as Little Junior kills an undercover federal agent with Jimmy watching, the unscrupulous district attorney and the feds further complicate his life. He must take down Junior or face the consequences.","[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,7.797512,4/21/95,6071
Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","A long time ago in a galaxy far, far away...",42.149697,5/25/77,11
Little Women,"With their father away as a chaplain in the Civil War, Jo, Meg, Beth and Amy grow up with their mother in somewhat reduced circumstances. They are a close family who inevitably have their squabbles and tragedies. But the bond holds even when, later, male friends start to become a part of the household.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","The story that has lived in our hearts for generations, now comes to the screen for the holidays.",9.774994,12/21/94,9587
A Little Princess,"When her father enlists to fight for the British in WWI, young Sara Crewe goes to New York to attend the same boarding school her late mother attended. She soon clashes with the severe headmistress, Miss Minchin, who attempts to stifle Sara's creativity and sense of self- worth.","[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",Every girl everywhere is a princess.,7.731725,5/10/95,19101
Ladybird Ladybird,"This Ken Loach docu-drama relates the story of a British woman's fight with Social Services over the care of her children. Maggie has a history of bouncing from one abusive relationship to another. She has four children, of four different fathers, who came to the attention of Social Services when they were injured in a fire. Subsequently, Maggie was found to be an ""unfit mother"" and her children were removed from her care. She finally meets the man of her dreams, a Paraguayan expatriate, and they start a family together. Unfortunately, Social Services seems unwilling to accept that her life has changed and rends them from their new children. She and Jorge together, and separately, fight Social Services, Immigration, and other government bureaucrats in a desperate battle to make their family whole again.","[{'id': 18, 'name': 'Drama'}]",,0.84508,2/18/94,49980
